"","Summed_crown_volume","Site_name","Treatment"
"2",27.75595,"bratsberg","open"
"3",1105.34426,"bratsberg","exclosure"
"4",65.5153,"didrik_holmsen","open"
"5",655.09991,"didrik_holmsen","exclosure"
"6",155.26637,"drangedal1","open"
"7",127.33687,"drangedal1","exclosure"
"8",0.13854,"drangedal3","open"
"9",40.13251,"drangedal3","exclosure"
"10",246.59417,"drangedal4","open"
"11",1601.70854,"drangedal4","exclosure"
"12",22.65998,"eidskog","open"
"13",11.80731,"eidskog","exclosure"
"14",9.27329,"fet_3","open"
"15",591.98271,"fet_3","exclosure"
"16",185.65957,"fritsoe1","open"
"17",678.64166,"fritsoe1","exclosure"
"18",88.70834,"fritsoe2","open"
"19",548.02366,"fritsoe2","exclosure"
"20",7.2685,"furesdal","open"
"21",213.02442,"furesdal","exclosure"
"22",80.21189,"halvard_pramhus","open"
"23",351.15619,"halvard_pramhus","exclosure"
"24",64.26294,"hi_tydal","open"
"25",951.07621,"hi_tydal","exclosure"
"26",282.79752,"kviteseid1","open"
"27",767.93767,"kviteseid1","exclosure"
"28",269.63672,"kviteseid2","open"
"29",549.83034,"kviteseid2","exclosure"
"30",159.28823,"kviteseid3","open"
"31",433.2603,"kviteseid3","exclosure"
"32",72.06536,"malvik","open"
"33",514.01107,"malvik","exclosure"
"34",13.70153,"namdalseid_1kub","open"
"35",23.04777,"namdalseid_1kub","exclosure"
"36",0.90524,"nome_cappelen1","open"
"37",52.68656,"nome_cappelen1","exclosure"
"38",29.94414,"nome_cappelen2","open"
"39",151.65587,"nome_cappelen2","exclosure"
"40",296.99328,"notodden3","open"
"41",373.2338,"notodden3","exclosure"
"42",26.87723,"notodden5","open"
"43",193.42846,"notodden5","exclosure"
"44",102.1053,"notodden6","open"
"45",291.01285,"notodden6","exclosure"
"46",0,"nsb_verdal","open"
"47",0.52101,"nsb_verdal","exclosure"
"48",539.55156,"selbu_flub","open"
"49",425.62082,"selbu_flub","exclosure"
"50",25.32458,"selbu_kl","open"
"51",4.34561,"selbu_kl","exclosure"
"52",73.28726,"selbu_sl","open"
"53",289.11305,"selbu_sl","exclosure"
"54",16.09203,"singsaas","open"
"55",3.08764,"singsaas","exclosure"
"56",4.56039,"sl_tydal","open"
"57",218.02355,"sl_tydal","exclosure"
"58",25.83831,"stangeskovene_aurskog","open"
"59",98.3978,"stangeskovene_aurskog","exclosure"
"60",7.76773,"stangeskovene_eidskog","open"
"61",417.98399,"stangeskovene_eidskog","exclosure"
"62",0,"steinkjer_1bbb","open"
"63",0,"steinkjer_1bbb","exclosure"
"64",14.60517,"steinkjer_2bbb","open"
"65",23.75743,"steinkjer_2bbb","exclosure"
"66",9.37773,"stig_dahlen","open"
"67",1457.85711,"stig_dahlen","exclosure"
"68",7.85861,"sub_namdalseid","open"
"69",0.14044,"sub_namdalseid","exclosure"
"70",27.68692,"truls_holm","open"
"71",506.98981,"truls_holm","exclosure"
"72",39.8896,"verdal_1vb","open"
"73",20.38549,"verdal_1vb","exclosure"
"74",27.53824,"verdal_2vb","open"
"75",714.66415,"verdal_2vb","exclosure"
